#wxSand: Owen Piette's Falling Sand Game									
#Version 4.4, File subversion 2									
#element element r g b gravity slip density conductivity visible									
#self probabilityOfChanging element [probabilityOfChangingIntoThisElement element] [...]									
#hotself tempAtWhichThisElementSelfProbabilityStartsToIncreaseTo100 element									
#hotcolor element r g b									
#neighbor probabilityOfReacting element1 element2 [probabilityOfChangingIntoTheseElements element1 element2] [...]									
#hotneighbor tempAtWhichThisElementSelfProbabilityStartsToIncreaseTo100 element1 element2									
#explosion neighbor1 neighbor2 xspeed&lt;255 yspeed&lt;255									
#pexplosion neighbor1 neighbor2 diameter element									
									
group	Offense	fighter	Bomber	laser	Bomb	Ionbomb	Ionbomber		
group	Defense	Hull	ShieldG	S30	flaregun	flare			
#No boundary walls and no sources, just trust me on this.									
element	Empty	0	0	0	0	0	0	0	1
#Make a straight shaft of width 1 pixel (MUST be straight) and put this at the bottom.  Otherwise... Well, I'll let you find that out for yourself.									
element	ShieldG	0	100	0	0	0	310	1	1
element	S1	8	255	8	0	0	300	1	0
element	S2	16	255	16	0	0	290	1	0
element	S3	24	255	24	0	0	280	1	0
element	S4	32	255	32	0	0	270	1	0
element	S5	40	255	40	0	0	260	1	0
element	S6	48	255	48	0	0	250	1	0
element	S7	56	255	56	0	0	240	1	0
element	S8	64	255	64	0	0	230	1	0
element	S9	72	255	72	0	0	220	1	0
element	S10	80	255	80	0	0	210	1	0
element	S11	88	255	88	0	0	200	1	0
element	S12	96	255	96	0	0	190	1	0
element	S13	104	255	104	0	0	180	1	0
element	S14	112	255	112	0	0	170	1	0
element	S15	120	255	120	0	0	160	1	0
element	S16	128	255	128	0	0	150	1	0
element	S17	136	255	136	0	0	140	1	0
element	S18	144	255	144	0	0	130	1	0
element	S19	152	255	152	0	0	120	1	0
element	S20	160	255	160	0	0	110	1	0
element	S21	168	255	168	0	0	100	1	0
element	S22	176	255	176	0	0	90	1	0
element	S23	184	255	184	0	0	80	1	0
element	S24	192	255	192	0	0	70	1	0
element	S25	200	255	200	0	0	60	1	0
element	S26	208	255	208	0	0	50	1	0
element	S27	216	255	216	0	0	40	1	0
element	S28	224	255	224	0	0	30	1	0
element	S29	232	255	232	0	0	20	1	0
#Can be used as a temporary shield while shield is recovering.  Just remember not to let it touch the shield or ion bombs will kill it, too.									
element	S30	240	255	240	0	0	10	1	1
neighbor	0.2	ShieldG	Empty	1	ShieldG	S1			
neighbor	0.5	S1	Empty	1	S1	S2			
neighbor	0.5	S2	Empty	1	S2	S3			
neighbor	0.5	S3	Empty	1	S3	S4			
neighbor	0.5	S4	Empty	1	S4	S5			
neighbor	0.5	S5	Empty	1	S5	S6			
neighbor	0.5	S6	Empty	1	S6	S7			
neighbor	0.5	S7	Empty	1	S7	S8			
neighbor	0.5	S8	Empty	1	S8	S9			
neighbor	0.5	S9	Empty	1	S9	S10			
neighbor	0.5	S10	Empty	1	S10	S11			
neighbor	0.5	S11	Empty	1	S11	S12			
neighbor	0.5	S12	Empty	1	S12	S13			
neighbor	0.5	S13	Empty	1	S13	S14			
neighbor	0.5	S14	Empty	1	S14	S15			
neighbor	0.5	S15	Empty	1	S15	S16			
neighbor	0.5	S16	Empty	1	S16	S17			
neighbor	0.5	S17	Empty	1	S17	S18			
neighbor	0.5	S18	Empty	1	S18	S19			
neighbor	0.5	S19	Empty	1	S19	S20			
neighbor	0.5	S20	Empty	1	S20	S21			
neighbor	0.5	S21	Empty	1	S21	S22			
neighbor	0.5	S22	Empty	1	S22	S23			
neighbor	0.5	S23	Empty	1	S23	S24			
neighbor	0.5	S24	Empty	1	S24	S25			
neighbor	0.5	S25	Empty	1	S25	S26			
neighbor	0.5	S26	Empty	1	S26	S27			
neighbor	0.5	S27	Empty	1	S27	S28			
neighbor	0.5	S28	Empty	1	S28	S29			
neighbor	0.5	S29	Empty	1	S29	S30			
neighbor	0.5	ShieldG	S2	1	ShieldG	S1			
neighbor	0.5	ShieldG	S3	1	ShieldG	S1			
neighbor	0.5	ShieldG	S4	1	ShieldG	S1			
neighbor	0.5	ShieldG	S5	1	ShieldG	S1			
neighbor	0.5	ShieldG	S6	1	ShieldG	S1			
neighbor	0.5	ShieldG	S7	1	ShieldG	S1			
neighbor	0.5	ShieldG	S8	1	ShieldG	S1			
neighbor	0.5	ShieldG	S9	1	ShieldG	S1			
neighbor	0.5	ShieldG	S10	1	ShieldG	S1			
neighbor	0.5	ShieldG	S11	1	ShieldG	S1			
neighbor	0.5	ShieldG	S12	1	ShieldG	S1			
neighbor	0.5	ShieldG	S13	1	ShieldG	S1			
neighbor	0.5	ShieldG	S14	1	ShieldG	S1			
neighbor	0.5	ShieldG	S15	1	ShieldG	S1			
neighbor	0.5	ShieldG	S16	1	ShieldG	S1			
neighbor	0.5	ShieldG	S17	1	ShieldG	S1			
neighbor	0.5	ShieldG	S18	1	ShieldG	S1			
neighbor	0.5	ShieldG	S19	1	ShieldG	S1			
neighbor	0.5	ShieldG	S20	1	ShieldG	S1			
neighbor	0.5	ShieldG	S21	1	ShieldG	S1			
neighbor	0.5	ShieldG	S22	1	ShieldG	S1			
neighbor	0.5	ShieldG	S23	1	ShieldG	S1			
neighbor	0.5	ShieldG	S24	1	ShieldG	S1			
neighbor	0.5	ShieldG	S25	1	ShieldG	S1			
neighbor	0.5	ShieldG	S26	1	ShieldG	S1			
neighbor	0.5	ShieldG	S27	1	ShieldG	S1			
neighbor	0.5	ShieldG	S28	1	ShieldG	S1			
neighbor	0.5	ShieldG	S29	1	ShieldG	S1			
neighbor	0.5	ShieldG	S30	1	ShieldG	S1			
neighbor	0.5	S1	S3	1	S1	S2			
neighbor	0.5	S1	S4	1	S1	S2			
